title,company,location,source,url,salary,scraped_at,job_id
Forward Deployed AI Engineer,Juna AI,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/forward-deployed-ai-engineer-at-juna-ai-4279492544?position=10&pageNum=0&refId=yC%2B1rTD6ud6e4RX4zJJDVw%3D%3D&trackingId=0elnxXRDJWs6peGNx0uH2A%3D%3D,Not specified,2025-08-08 15:01:18.009532,https://de.linkedin.com/jobs/view/forward-deployed-ai-engineer-at-juna-ai-4279492544?position=10&pagenum=0&refid=yc%2b1rtd6ud6e4rx4zjjdvw%3d%3d&trackingid=0elnxxrdjws6pegnx0uh2a%3d%3d
Senior Data Scientist,Almedia,"Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-data-scientist-at-almedia-4281909472?position=11&pageNum=0&refId=yC%2B1rTD6ud6e4RX4zJJDVw%3D%3D&trackingId=dwqd1Ib%2F2qyRN%2BHNFSaC6g%3D%3D,Not specified,2025-08-08 15:01:18.009575,https://de.linkedin.com/jobs/view/senior-data-scientist-at-almedia-4281909472?position=11&pagenum=0&refid=yc%2b1rtd6ud6e4rx4zjjdvw%3d%3d&trackingid=dwqd1ib%2f2qyrn%2bhnfsac6g%3d%3d
Senior Associate Data Science,Publicis Sapient,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-associate-data-science-at-publicis-sapient-4254322447?position=12&pageNum=0&refId=yC%2B1rTD6ud6e4RX4zJJDVw%3D%3D&trackingId=Paj7YRjGCLjo5Ry2d9C9Gg%3D%3D,Not specified,2025-08-08 15:01:18.009617,https://de.linkedin.com/jobs/view/senior-associate-data-science-at-publicis-sapient-4254322447?position=12&pagenum=0&refid=yc%2b1rtd6ud6e4rx4zjjdvw%3d%3d&trackingid=paj7yrjgcljo5ry2d9c9gg%3d%3d
Software Engineer in Test,Dataiku,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/software-engineer-in-test-at-dataiku-4085371392?position=13&pageNum=0&refId=yC%2B1rTD6ud6e4RX4zJJDVw%3D%3D&trackingId=ZJqfUPsAPZXr%2B9PQANNxtA%3D%3D,Not specified,2025-08-08 15:01:18.009659,https://de.linkedin.com/jobs/view/software-engineer-in-test-at-dataiku-4085371392?position=13&pagenum=0&refid=yc%2b1rtd6ud6e4rx4zjjdvw%3d%3d&trackingid=zjqfupsapzxr%2b9pqannxta%3d%3d
Data Engineer (m/f/d),Flix,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/data-engineer-m-f-d-at-flix-4282153786?position=14&pageNum=0&refId=yC%2B1rTD6ud6e4RX4zJJDVw%3D%3D&trackingId=4YKPftSypir47HDb0iyZSQ%3D%3D,Not specified,2025-08-08 15:01:18.009702,https://de.linkedin.com/jobs/view/data-engineer-m-f-d-at-flix-4282153786?position=14&pagenum=0&refid=yc%2b1rtd6ud6e4rx4zjjdvw%3d%3d&trackingid=4ykpftsypir47hdb0iyzsq%3d%3d
Data Analyst,Talon.One,"Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/data-analyst-at-talon-one-4277683734?position=15&pageNum=0&refId=yC%2B1rTD6ud6e4RX4zJJDVw%3D%3D&trackingId=Bccwo82eIfRuzqqk2qKiSg%3D%3D,Not specified,2025-08-08 15:01:18.009745,https://de.linkedin.com/jobs/view/data-analyst-at-talon-one-4277683734?position=15&pagenum=0&refid=yc%2b1rtd6ud6e4rx4zjjdvw%3d%3d&trackingid=bccwo82eifruzqqk2qkisg%3d%3d
"Software Engineer, Simulation",AeroVect,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/software-engineer-simulation-at-aerovect-4281932556?position=16&pageNum=0&refId=yC%2B1rTD6ud6e4RX4zJJDVw%3D%3D&trackingId=SWqplNjhd6vMxKNiPC2sEg%3D%3D,Not specified,2025-08-08 15:01:18.009787,https://de.linkedin.com/jobs/view/software-engineer-simulation-at-aerovect-4281932556?position=16&pagenum=0&refid=yc%2b1rtd6ud6e4rx4zjjdvw%3d%3d&trackingid=swqplnjhd6vmxknipc2seg%3d%3d
Software Developer II (Python) - All Genders,Lightspeed Commerce,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/software-developer-ii-python-all-genders-at-lightspeed-commerce-4281685959?position=17&pageNum=0&refId=yC%2B1rTD6ud6e4RX4zJJDVw%3D%3D&trackingId=3ly%2BDXSFv9Q4aFlWIC2TAw%3D%3D,Not specified,2025-08-08 15:01:18.009829,https://de.linkedin.com/jobs/view/software-developer-ii-python-all-genders-at-lightspeed-commerce-4281685959?position=17&pagenum=0&refid=yc%2b1rtd6ud6e4rx4zjjdvw%3d%3d&trackingid=3ly%2bdxsfv9q4aflwic2taw%3d%3d
"Analyst - BCG Vantage - Power & Utilities, Energy Networks",TieTalent,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/analyst-bcg-vantage-power-utilities-energy-networks-at-tietalent-4281689926?position=18&pageNum=0&refId=yC%2B1rTD6ud6e4RX4zJJDVw%3D%3D&trackingId=dP%2BG5pm6%2Blw7%2FTI%2FKf2pTA%3D%3D,Not specified,2025-08-08 15:01:18.009872,https://de.linkedin.com/jobs/view/analyst-bcg-vantage-power-utilities-energy-networks-at-tietalent-4281689926?position=18&pagenum=0&refid=yc%2b1rtd6ud6e4rx4zjjdvw%3d%3d&trackingid=dp%2bg5pm6%2blw7%2fti%2fkf2pta%3d%3d
Data Analyst – B2B Analytics (f|m|d),idealo internet GmbH,"Berlin, Berlin, Germany",LinkedIn,https://de.linkedin.com/jobs/view/data-analyst-%E2%80%93-b2b-analytics-f-m-d-at-idealo-internet-gmbh-4281801578?position=19&pageNum=0&refId=yC%2B1rTD6ud6e4RX4zJJDVw%3D%3D&trackingId=7FsC0sNMKddDM11uaJ4Jkw%3D%3D,Not specified,2025-08-08 15:01:18.009914,https://de.linkedin.com/jobs/view/data-analyst-%e2%80%93-b2b-analytics-f-m-d-at-idealo-internet-gmbh-4281801578?position=19&pagenum=0&refid=yc%2b1rtd6ud6e4rx4zjjdvw%3d%3d&trackingid=7fsc0snmkdddm11uaj4jkw%3d%3d
