title,company,location,source,url,salary,scraped_at
Senior Consultant AI Insights (m/w/d) in Stuttgart,Deloitte,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-consultant-ai-insights-m-w-d-in-stuttgart-at-deloitte-4243061516?position=40&pageNum=0&refId=qeOTlj0ZRVOzUgp0M%2Fbz5g%3D%3D&trackingId=LQ4H0YpEuodAVVcBvv2Byw%3D%3D,Not specified,2025-08-08 10:21:08.444510
Junior SAP Berater (m/w/d) in Stuttgart,Deloitte,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/junior-sap-berater-m-w-d-in-stuttgart-at-deloitte-4243056733?position=41&pageNum=0&refId=qeOTlj0ZRVOzUgp0M%2Fbz5g%3D%3D&trackingId=rOjvCsjiWKgdQsGa1ui3Hw%3D%3D,Not specified,2025-08-08 10:21:08.444553
Senior Solutions Architect,MongoDB,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/senior-solutions-architect-at-mongodb-4267265796?position=42&pageNum=0&refId=qeOTlj0ZRVOzUgp0M%2Fbz5g%3D%3D&trackingId=ELUpBSSe%2FfquQdkDzG2ulA%3D%3D,Not specified,2025-08-08 10:21:08.444605
Pflichtpraktikum im HR Planning & Controlling,Bosch,"Gerlingen, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/pflichtpraktikum-im-hr-planning-controlling-at-bosch-4281338096?position=43&pageNum=0&refId=qeOTlj0ZRVOzUgp0M%2Fbz5g%3D%3D&trackingId=jSL3O1G2Mu1xQ25EDXzwcg%3D%3D,Not specified,2025-08-08 10:21:08.444648
Field Service Representative,Accenture Federal Services,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/field-service-representative-at-accenture-federal-services-4267566711?position=44&pageNum=0&refId=qeOTlj0ZRVOzUgp0M%2Fbz5g%3D%3D&trackingId=bsjgVGDuRaZww3dgd2%2Bihg%3D%3D,Not specified,2025-08-08 10:21:08.444691
Consultant Commodity Trading (all genders) - BCG Platinion,BCG Platinion,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/consultant-commodity-trading-all-genders-bcg-platinion-at-bcg-platinion-4062719523?position=45&pageNum=0&refId=qeOTlj0ZRVOzUgp0M%2Fbz5g%3D%3D&trackingId=%2BogXA6n5B2FIBkyB3arl4w%3D%3D,Not specified,2025-08-08 10:21:08.444734
Conversion National Account Executive – Freight Forwarding (Healthcare) (m/f/d),UPS,"Scharnhausen, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/conversion-national-account-executive-%E2%80%93-freight-forwarding-healthcare-m-f-d-at-ups-4281354251?position=46&pageNum=0&refId=qeOTlj0ZRVOzUgp0M%2Fbz5g%3D%3D&trackingId=4Fxf7JCFS4CIkMNm1lcQrA%3D%3D,Not specified,2025-08-08 10:21:08.444777
Verkäufer (m/w/d) in Teilzeit 15 Std./Woche Brackenheim,NKD Deutschland GmbH,"Brackenheim, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/verk%C3%A4ufer-m-w-d-in-teilzeit-15-std-woche-brackenheim-at-nkd-deutschland-gmbh-4281697983?position=47&pageNum=0&refId=qeOTlj0ZRVOzUgp0M%2Fbz5g%3D%3D&trackingId=zZ8HIEZ7cq6FygsoyT07aQ%3D%3D,Not specified,2025-08-08 10:21:08.444821
(Senior) Data Engineer w/m/d,Computacenter,Stuttgart Region,LinkedIn,https://de.linkedin.com/jobs/view/senior-data-engineer-w-m-d-at-computacenter-3790517838?position=49&pageNum=0&refId=qeOTlj0ZRVOzUgp0M%2Fbz5g%3D%3D&trackingId=zRNykB6mNexJzIZRpw0DoA%3D%3D,Not specified,2025-08-08 10:21:08.444907
SAP Strategic Alliances,ADP,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/sap-strategic-alliances-at-adp-4266484431?position=50&pageNum=0&refId=qeOTlj0ZRVOzUgp0M%2Fbz5g%3D%3D&trackingId=IeqGyn8ilHha09is%2FS%2BXrQ%3D%3D,Not specified,2025-08-08 10:21:08.444950
Solution Architect - Digital Workplace (m/f/d),Exyte,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/solution-architect-digital-workplace-m-f-d-at-exyte-4102014741?position=52&pageNum=0&refId=qeOTlj0ZRVOzUgp0M%2Fbz5g%3D%3D&trackingId=kFn8ZIXoDKJHygRV%2FOg3ag%3D%3D,Not specified,2025-08-08 10:21:08.445036
Pharmaberater m/w/d  Impfstoffe,IQVIA,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/pharmaberater-m-w-d-impfstoffe-at-iqvia-4281673233?position=54&pageNum=0&refId=qeOTlj0ZRVOzUgp0M%2Fbz5g%3D%3D&trackingId=GjVEh6tn%2BnCHwpm%2FXwqe4g%3D%3D,Not specified,2025-08-08 10:21:08.445122
"Verlustpräventionsspezialist, Security & Loss Prevention Field",Amazon,"Pforzheim, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/verlustpr%C3%A4ventionsspezialist-security-loss-prevention-field-at-amazon-4257717077?position=55&pageNum=0&refId=qeOTlj0ZRVOzUgp0M%2Fbz5g%3D%3D&trackingId=oQID3Dh%2FHoYUL4LTyJwa%2Bw%3D%3D,Not specified,2025-08-08 10:21:08.445164
Azure Cloud Platform Lead (m/w/d) - IT Consultant D365 bundesweit,HSO,"Böblingen, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/azure-cloud-platform-lead-m-w-d-it-consultant-d365-bundesweit-at-hso-4281495198?position=56&pageNum=0&refId=qeOTlj0ZRVOzUgp0M%2Fbz5g%3D%3D&trackingId=jIrY3QWtn7WfBRKuhpZ%2BtQ%3D%3D,Not specified,2025-08-08 10:21:08.445207
network engineer packet & SDN,Colt Technology Services,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/network-engineer-packet-sdn-at-colt-technology-services-4271592768?position=57&pageNum=0&refId=qeOTlj0ZRVOzUgp0M%2Fbz5g%3D%3D&trackingId=YRzQcamFoJT%2B3HSOJFYEiQ%3D%3D,Not specified,2025-08-08 10:21:08.445250
VIE Product Marketing and Communication CoordinatorM/F,Valeo,"Bietigheim-Bissingen, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/vie-product-marketing-and-communication-coordinatorm-f-at-valeo-4267242431?position=58&pageNum=0&refId=qeOTlj0ZRVOzUgp0M%2Fbz5g%3D%3D&trackingId=E7TEHQOlHd8tDYLBAsx94w%3D%3D,Not specified,2025-08-08 10:21:08.445293
Microsoft 365 Modern Workplace Consultant (w/m/x),Avanade,"Stuttgart, Baden-Württemberg, Germany",LinkedIn,https://de.linkedin.com/jobs/view/microsoft-365-modern-workplace-consultant-w-m-x-at-avanade-4251167984?position=59&pageNum=0&refId=qeOTlj0ZRVOzUgp0M%2Fbz5g%3D%3D&trackingId=FEg4TPVjNBkE2XdhTo5wxQ%3D%3D,Not specified,2025-08-08 10:21:08.445336
